Python;Java;C++;JavaScript;C#;PHP;Ruby;Swift;Go;Rust;Others;Software_Development_Experience;Database_Management;Networking_Skills;Web_Development_Experience;Communication_Skills;Problem_Solving_Abilities;Teamwork_Collaboration;Time_Management;Adaptability;Career_Goals
9;4;9;7;8;1;5;8;6;4;7;2;3;7;5;7;5;5;9;1;Data Scientist
7;7;4;8;8;9;5;2;8;0;3;8;9;2;1;3;4;5;6;7;Quality Assurance Engineer
1;1;5;8;5;8;0;9;5;9;3;5;0;3;6;0;9;2;3;1;Computer and Information Research Scientist
3;7;5;7;8;7;4;0;3;2;0;4;4;5;7;1;7;9;4;1;Research Scientist
6;9;2;8;4;4;6;3;9;0;3;6;2;9;7;2;6;1;3;3;Front End Developer
7;4;5;8;3;0;6;3;0;1;2;9;3;5;8;8;1;3;6;9;Computer and Information Research Scientist
6;9;8;2;7;1;1;1;8;1;3;9;8;9;0;1;9;1;0;7;IT Sales Professional
2;1;5;4;1;7;9;7;5;0;6;0;6;6;5;0;5;4;6;5;Computer Systems Manager
9;5;5;4;8;4;1;8;2;3;0;0;5;5;9;1;0;5;8;1;Data Scientist
6;3;6;0;8;6;3;4;1;4;5;6;4;5;8;0;7;6;3;1;Machine Learning Engineer
8;2;1;3;1;4;4;8;1;5;4;0;4;8;8;2;6;3;3;4;Computer Systems Manager
2;3;8;6;9;1;1;8;7;0;3;3;0;5;1;1;7;0;4;6;Technical Writer
6;8;1;5;6;1;0;9;8;2;0;3;4;2;1;1;4;8;8;4;DevOps Engineer
1;3;7;0;4;9;6;0;8;7;7;1;2;8;2;4;1;4;3;2;Embedded Systems Engineer
7;4;6;5;9;5;6;9;7;6;7;4;6;2;1;3;3;4;9;0;Computer Programmer
8;2;3;1;8;3;9;0;6;1;8;6;0;3;6;1;2;5;0;4;Business Intelligence Analyst
3;6;2;7;9;7;0;6;1;9;8;6;1;3;6;3;8;0;4;5;Computer Science Teacher
2;9;0;3;0;8;1;5;8;8;6;2;1;8;3;8;8;8;8;1;DevOps Engineer
2;4;4;6;4;3;1;7;1;6;0;8;0;2;1;0;9;5;2;9;IT Project Manager
5;4;1;0;1;7;2;1;0;4;7;1;6;9;2;7;7;4;1;0;Computer Systems Manager
0;0;2;5;6;8;1;9;8;4;8;6;5;6;0;5;7;7;1;6;Mobile App Developer
7;2;6;1;6;6;2;6;7;0;3;0;7;6;0;1;0;1;7;6;Systems Analyst
5;5;5;6;9;2;7;0;9;7;0;2;6;9;2;8;8;9;0;4;Network Administrator
9;0;6;3;4;8;5;9;9;6;8;1;2;8;1;4;1;5;4;2;Systems Analyst
1;1;9;3;8;7;0;0;6;2;4;9;3;0;4;5;0;6;0;7;Computer Systems Analyst
0;9;2;0;9;3;6;6;6;7;4;4;7;5;6;4;5;9;2;9;Technical Support Engineer
7;9;4;1;5;3;3;9;6;3;1;9;7;2;6;6;4;9;3;0;Computer Network Architect
6;9;7;9;6;7;0;8;3;1;5;7;3;9;0;6;6;3;6;4;Technical Writer
9;6;3;3;9;0;2;6;5;8;7;8;5;2;4;1;6;1;5;4;Computer Science Teacher
0;1;8;8;1;9;8;2;6;6;2;5;7;3;9;0;5;0;0;5;Software Engineer
7;8;5;9;6;5;7;4;0;6;1;8;5;1;6;1;8;3;0;1;Cybersecurity Analyst
7;9;1;5;0;2;6;2;3;5;2;9;2;0;5;3;1;7;0;4;Blockchain Developer
4;1;3;8;9;3;6;3;4;7;6;6;2;2;6;5;5;3;7;9;Back End Developer
7;6;3;9;3;1;8;3;4;8;2;4;4;0;9;8;3;9;8;0;Computer Systems Analyst
1;7;7;0;8;5;8;8;0;3;3;3;9;1;4;0;4;0;7;5;Research Scientist
8;2;7;7;9;3;6;6;2;6;0;7;8;8;6;3;9;3;7;3;Computer Network Architect
7;4;8;3;6;4;0;6;8;8;1;2;8;6;2;8;9;4;7;4;Software Developer
3;6;5;5;2;7;1;5;3;5;1;4;5;1;5;8;4;3;0;8;Cybersecurity Analyst
6;5;6;1;6;3;6;3;0;1;5;1;7;9;2;6;1;9;5;6;Technical Writer
2;9;1;0;1;4;5;9;5;6;4;7;5;4;2;5;1;7;6;6;Embedded Systems Engineer
8;3;9;7;7;4;9;5;4;6;6;5;1;1;6;2;9;7;6;1;Computer and Information Systems Manager
4;1;5;3;3;2;7;3;1;1;9;2;9;1;6;6;1;7;7;5;Software Tester
9;4;6;9;0;3;3;7;9;2;8;6;3;3;3;5;8;3;5;6;Computer Network Architect
6;5;6;0;2;4;5;9;9;4;1;9;3;6;2;6;8;2;8;8;Computer Programmer
8;0;1;8;0;7;7;2;9;9;3;7;8;0;0;3;5;6;4;9;Computer Systems Analyst
0;3;6;2;2;9;4;7;2;7;6;3;5;8;0;1;5;6;2;0;Front End Developer
0;1;3;7;5;2;0;1;8;4;1;7;9;6;2;6;9;2;6;1;Mobile App Developer
1;9;1;6;8;4;6;1;9;8;6;2;1;5;0;8;6;1;7;8;Game Developer
6;6;2;3;1;4;7;3;9;9;4;3;3;2;0;8;2;1;8;1;Computer Hardware Engineer
5;9;3;1;1;4;6;3;0;8;6;0;3;9;2;1;5;3;2;5;Cloud Architect
3;4;0;8;5;2;5;2;9;2;1;6;8;5;1;8;6;7;3;2;Data Scientist
3;2;9;5;5;3;2;5;4;3;6;4;2;2;9;0;0;8;3;2;IT Support Specialist
6;3;5;0;2;1;6;6;9;7;5;4;5;9;4;1;3;6;4;9;Software Engineer
8;6;3;9;6;4;5;3;9;3;9;9;4;8;8;3;3;8;4;6;Cloud Architect
7;9;8;1;3;8;7;4;5;5;6;4;3;8;7;4;5;1;2;9;Computer Hardware Engineer
9;0;0;5;5;1;2;5;9;6;4;1;3;2;1;3;0;3;8;0;Technical Writer
7;4;5;6;7;9;8;5;8;4;4;7;6;0;9;9;4;0;6;7;Full Stack Developer
